id,expression
E065_115459,-0.5305736
E065_162723,-0.3911158
E065_196275,-0.34911257
E065_232774,-0.19777477
E065_172339,-0.7375383
E065_184845,0.28580832
E065_105550,-0.23525801
E065_186409,-0.6407416
E065_174579,1.4376327
E065_198833,-0.5165164
E065_117625,-0.39433983
E065_161547,-0.71737456
E065_182149,-0.4137708
E065_137098,0.17620002
E065_13375,-0.014002249
E065_100167,-0.4726836
E065_105695,-0.49554384
E065_206262,-0.75607723
E065_130313,-0.5717691
E065_149639,0.8878528
E065_116212,-0.6038231
E065_108423,-0.9291541
E065_115295,-0.2903459
E065_162714,-0.27826494
E065_235935,0.5173236
E065_165349,-0.52835405
E065_114019,1.3265561
E065_121101,-0.5076853
E065_140992,-0.5611087
E065_166448,0.6525167
E065_198818,-0.5639334
E065_130433,-0.21240865
E065_228672,0.33392274
E065_228998,-0.18453524
E065_137709,-0.36225945
E065_238166,-0.35634226
E065_215193,-0.6260243
E065_100258,-0.7572377
E065_172901,-0.6264675
E065_44090,-0.28003645
E065_101438,-0.6545602
E065_204604,-0.50316536
E065_139531,-0.6700982
E065_179833,0.52002543
E065_157778,-0.769722
E065_224089,-0.48866832
E065_1036,-0.715383
E065_88682,-0.7679663
E065_101911,-0.4385082
E065_90006,-0.27769685
E065_182866,-0.36057276
E065_116688,-0.66197157
E065_149600,-0.51216555
E065_248919,-0.6704917
E065_104818,-0.35060966
E065_171189,0.0011276454
E065_164556,-0.4519375
E065_104870,-0.32350886
E065_163499,-0.87622815
E065_162068,-0.7269346
E065_122566,0.6214211
E065_111859,0.22067814
E065_114857,-0.42159885
E065_119599,-0.47062325
E065_142409,-0.30037078
E065_176907,0.8537203
E065_64115,-0.5241224
E065_135111,-0.3538866
E065_105852,-0.43095818
E065_165501,-0.71997195
E065_144460,-0.084893
E065_158825,-0.5056486
E065_198553,0.99534714
E065_141580,-0.17486583
E065_132780,-0.5917884
E065_101236,-0.18867819
E065_163517,-0.4472353
E065_144362,-0.22736716
E065_168175,-0.7815743
E065_148700,-0.3723386
E065_151490,0.78425646
E065_105649,-0.66161674
E065_137168,-0.8251891
E065_137161,-0.67498493
E065_115947,-0.6214585
E065_68489,-0.5593474
E065_205758,0.54076624
E065_145642,-0.58218414
E065_229314,-0.40155345
E065_105849,0.17376725
E065_168288,0.060830876
E065_196547,-0.43199664
E065_172650,-0.33455825
E065_114737,-0.778826
E065_83937,-0.37405422
E065_186187,-0.46426773
E065_120053,-0.85895216
E065_258973,-0.6374682
E065_156218,0.6489429
E065_7080,-0.62651515
E065_104723,-0.44233674
E065_189203,-0.4824248
E065_180425,-0.32393542
E065_162607,-0.60912627
E065_75142,-0.33455318
E065_235604,-0.41614783
E065_460,-0.46743536
E065_204020,-0.3886284
E065_182359,-0.36095503
E065_163171,-0.47472376
E065_103121,0.09545751
E065_188529,2.0176084
E065_124279,-0.64347965
E065_167311,-0.5106126
E065_229924,-0.45288825
E065_419,-0.48983598
E065_162174,0.061803564
E065_111596,-0.45972246
E065_198752,-0.7099756
E065_133247,-0.42372343
E065_106077,-0.76327974
E065_248993,-0.38795584
E065_127526,-0.5495578
E065_114654,-0.56197363
E065_153823,1.5215268
E065_174851,-0.80311847
E065_149292,-0.60479903
E065_47617,-0.6376276
E065_258210,-0.43014657
E065_168710,-0.1405736
E065_102172,-0.4788276
E065_117385,-0.8353643
E065_171295,-0.53126305
E065_134686,-0.6161398
E065_137656,-0.8435391
E065_173692,-0.6147846
E065_104885,0.26170415
E065_221914,1.2166427
E065_149499,-0.61997646
E065_244005,-0.35416266
E065_234444,-0.5195546
E065_187122,-0.25640088
E065_174343,-0.5321206
E065_75785,-0.60512996
E065_163536,-0.6696902
E065_162951,-0.5380407
E065_164451,-0.37031013
E065_253485,-0.2846708
E065_120669,-0.54139066
E065_186352,0.13023196
E065_176208,-0.74609554
E065_154133,-0.20471595
E065_177494,-0.08951365
E065_250151,-0.7014493
E065_100297,-0.63087404
E065_169446,-0.61504924
E065_118690,-0.5252046
E065_160207,-0.40951717
E065_109099,1.1465183
E065_168118,-0.5536476
E065_129465,-0.3433895
E065_176903,-0.3958273
E065_153237,-0.5341066
E065_152086,-0.36218125
E065_137204,-0.37323153
E065_73712,1.4701817
E065_167747,-0.7159659
E065_167333,-0.23292571
E065_132382,-0.8360524
E065_103852,-0.20894499
E065_141013,-0.28366095
E065_166848,0.3338756
E065_139793,1.4868778
E065_163806,0.19222488
E065_177465,-0.58886653
E065_133138,-0.61091596
E065_167851,-0.36647183
E065_115616,-0.43262345
E065_65809,-0.14634496
E065_137449,0.1254714
E065_131089,-0.3008973
E065_176108,-0.48899722
E065_183691,0.65061474
E065_116752,-0.6945479
E065_160087,0.18616892
E065_174405,-0.27669358
E065_169504,1.1748432
E065_95951,1.119885
E065_226974,-0.45914644
E065_132563,-0.5313646
E065_182247,-0.5766068
E065_103037,-0.63822585
E065_164068,-0.090798706
E065_162929,-0.39702708
E065_186517,-0.30324313
E065_64201,0.09519903
E065_176809,-0.02079454
E065_215217,-0.43759435
E065_170498,-0.412475
E065_83828,0.28063107
E065_137726,-0.4293838
E065_131351,1.1227673
E065_8513,1.3826866
E065_113361,0.18711083
E065_176386,-0.9183363
E065_171467,-0.6345068
E065_156384,-0.6464854
E065_178343,0.0032172054
E065_168228,-0.5308298
E065_132763,-0.42322558
E065_167548,0.1662633
E065_188316,-0.28764543
E065_167664,-0.358303
E065_162694,-0.6590215
E065_175198,-0.5710269
E065_132964,-0.6207505
E065_109917,-0.74515253
E065_138161,-0.41184878
E065_133477,-0.5804811
E065_106462,-0.41378593
E065_7038,-0.38540345
E065_119401,0.33045733
E065_254986,-0.77021277
E065_110880,0.4973176
E065_158516,-0.26274195
E065_118564,0.06172137
E065_133962,0.115245685
E065_184056,-0.79302776
E065_175820,-0.36066937
E065_124429,-0.3540672
E065_167646,-0.784519
E065_184408,0.5865711
E065_130489,-0.7206867
E065_197889,-0.5246822
E065_163479,-0.75924325
E065_241978,1.038458
E065_168077,-0.2110072
E065_104517,0.55628264
E065_119979,-0.56057703
E065_91127,-0.7090845
E065_204947,-0.7804711
E065_152939,0.049296305
E065_163263,0.047283635
E065_171130,-0.5388711
E065_167103,-0.5718779
E065_156970,-0.5461321
E065_5471,-0.03494592
E065_156709,-0.6514206
E065_119523,-0.14359975
E065_83817,0.42084283
E065_160447,-0.53023773
E065_125817,-0.5487099
E065_103876,-0.2959585
E065_168214,-0.27868748
E065_182183,-0.4631936
E065_129559,-0.59509295
E065_180777,-0.349649
E065_196235,-0.64469993
E065_213029,-0.025898874
E065_117505,1.1214706
E065_168916,1.0574683
E065_139722,0.6621702
E065_68885,0.45431352
E065_150459,-0.6307102
E065_179761,-0.11359525
E065_157343,-0.25145027
E065_113600,0.62830585
E065_148834,-0.49554336
E065_135333,0.84260833
E065_173335,-0.31428015
E065_166501,-0.5163904
E065_189430,-0.38089323
E065_236022,-0.48866832
E065_141542,-0.5706496
E065_109445,0.33991587
E065_138678,-0.595883
E065_138279,-0.73259884
E065_136002,-0.43755347
E065_254870,-0.39771974
E065_129195,-0.38478172
E065_102362,-0.40355033
E065_74695,-0.5188129
E065_122644,-0.4629104
E065_139746,0.26662534
E065_171262,-0.12479336
E065_170542,-0.54663193
E065_124214,-0.14327383
E065_164588,-0.005928263
E065_254726,-0.6148675
E065_171017,-0.50131744
E065_160055,-0.65380484
E065_198739,-0.31585
E065_158050,-0.21093601
E065_108639,-0.6140093
E065_100216,-0.3394087
E065_72042,-0.50939995
E065_125449,-0.41073892
E065_179564,0.10276292
E065_4700,-0.61054313
E065_164924,1.2066835
E065_188157,-0.5007713
E065_172379,-0.38338053
E065_116977,-0.5311537
E065_174595,-0.3921531
E065_112130,-0.7554601
E065_204653,-0.082888514
E065_154080,0.28093553
E065_166927,-0.33989078
E065_112759,1.3381163
E065_178821,-0.6485217
E065_184012,-0.41370702
E065_138675,-0.5379057
E065_162814,-0.40782666
E065_217442,-0.6218224
E065_164134,-0.36692965
E065_249679,-0.841243
E065_153714,0.08451216
E065_164330,1.0475314
E065_165813,-0.63565314
E065_188997,0.63795596
E065_135324,0.23874114
E065_99260,-0.47091568
E065_166415,-0.4468429
E065_101695,-0.3243326
E065_139496,-0.53314835
E065_198715,-0.5415678
E065_118200,-0.49662495
E065_113273,-0.2319367
E065_182572,-0.50865144
E065_132478,-0.5981603
E065_182782,-0.36458427
E065_205457,-0.48769194
E065_121769,0.5034217
E065_204538,-0.17913288
E065_196730,0.3296401
E065_146112,2.085687
E065_82805,-0.6462302
E065_215397,-0.7061541
E065_155875,-0.39487815
E065_102606,1.6127331
E065_88992,-0.44881952
E065_183036,-0.38399163
E065_114251,-0.63684845
E065_115540,-0.6019643
E065_173611,-0.6512871
E065_236699,-0.22567014
E065_145725,0.34974003
E065_124207,-0.71502745
E065_140832,-0.4828171
E065_128915,-0.6526798
E065_139970,-0.35091192
E065_173762,-0.42771694
E065_59377,0.34852493
E065_83097,0.81911266
E065_241258,-0.54232687
E065_134014,-0.30218738
E065_177096,0.29725486
E065_235978,-0.13010722
E065_12963,-0.79559374
E065_215262,-0.32172602
E065_165525,-0.48918915
E065_133063,0.5838891
E065_197093,-0.4419263
E065_187601,-0.4351973
E065_124216,-0.4672156
E065_204186,0.9146755
E065_99769,0.3572402
E065_164609,0.05883716
E065_167566,-0.19719993
E065_130856,0.20128308
E065_49449,-0.63946843
E065_256050,-0.19772941
E065_54965,-0.48048586
E065_146122,-0.49213487
E065_187954,-0.5177775
E065_100014,-0.42446387
E065_142252,0.13590275
E065_181638,-0.60994333
E065_143977,-0.87565744
E065_23191,-0.69520664
E065_213401,-0.4059679
E065_12211,-0.47485143
E065_126457,-0.5731258
E065_135976,-0.018516108
E065_141543,-0.69327617
E065_173418,-0.3206963
E065_196843,2.5107007
E065_171867,-0.5041264
E065_132950,-0.84052545
E065_169126,-0.75288177
